Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
22-December-2021,1988.00,2008.60,1980.80,2007.00,1992.408805031446540880,318,144,633586.00,179,56.29,27.80,19.00
21-December-2021,1989.00,1989.00,1965.05,1978.80,1974.132992327365728900,391,136,771886.00,324,82.86,23.95,-10.20
20-December-2021,2000.00,2000.00,1960.80,1964.35,1979.241987179487179487,624,323,1235047.00,442,70.83,39.20,-35.65
17-December-2021,2034.95,2039.00,1990.00,1992.90,2012.951307484220018034,1109,346,2232363.00,832,75.02,49.00,-42.05
16-December-2021,2085.00,2085.00,2034.90,2043.35,2048.159340659340659340,182,81,372765.00,115,63.19,50.10,-41.65
15-December-2021,2050.00,2089.25,2050.00,2051.80,2066.078260869565217391,690,260,1425594.00,356,51.59,39.25,1.80
14-December-2021,2064.85,2064.85,2034.00,2041.65,2043.926829268292682926,574,179,1173214.00,418,72.82,30.85,-23.20
13-December-2021,2070.10,2084.10,2051.15,2054.35,2069.014662756598240469,682,241,1411068.00,465,68.18,32.95,-15.75
10-December-2021,2091.90,2118.20,2050.00,2062.70,2074.402750491159135559,509,247,1055871.00,217,42.63,68.20,-29.20
9-December-2021,2084.85,2096.20,2076.00,2084.95,2085.391089108910891089,202,99,421249.00,130,64.36,20.20,0.10
8-December-2021,2117.90,2117.90,2066.50,2075.15,2079.681125439624853458,853,268,1773968.00,512,60.02,51.40,-42.75
7-December-2021,2121.00,2121.00,2058.00,2072.70,2074.423001949317738791,513,197,1064179.00,315,61.40,63.00,-48.30
6-December-2021,2069.05,2114.10,2045.00,2082.00,2089.533807829181494661,281,190,587159.00,160,56.94,69.10,12.95
3-December-2021,2081.30,2104.10,2035.00,2061.60,2076.724738675958188153,574,222,1192040.00,445,77.53,69.10,-19.70
2-December-2021,2061.00,2098.00,2061.00,2082.50,2079.684759916492693110,479,175,996169.00,273,56.99,37.00,21.50
1-December-2021,2110.35,2110.35,2056.10,2094.55,2073.898203592814371257,334,142,692682.00,201,60.18,54.25,-15.80
30-November-2021,2071.30,2073.80,2045.05,2062.15,2062.097727272727272727,440,210,907323.00,251,57.05,28.75,-9.15
29-November-2021,2095.00,2095.00,2010.10,2051.90,2062.272448196469685341,1303,426,2687141.00,944,72.45,84.90,-43.10
26-November-2021,2166.05,2184.40,2088.10,2096.70,2122.296682464454976303,1055,521,2239023.00,649,61.52,96.30,-69.35
25-November-2021,2195.25,2200.00,2170.80,2188.95,2180.058823529411764705,204,108,444732.00,107,52.45,29.20,-6.30
24-November-2021,2178.15,2194.95,2170.00,2185.75,2182.238434163701067615,281,117,613209.00,162,57.65,24.95,7.60
23-November-2021,2180.00,2180.00,2136.55,2169.55,2169.113559322033898305,590,242,1279777.00,388,65.76,43.45,-10.45
22-November-2021,2196.60,2196.85,2160.05,2185.30,2178.251641137855579868,1828,735,3981844.00,1354,74.07,36.80,-11.30
18-November-2021,2203.15,2219.35,2178.75,2204.85,2201.149370125974805038,1667,626,3669316.00,1239,74.33,40.60,1.70
17-November-2021,2131.95,2206.55,2127.75,2188.25,2178.614065934065934065,2275,900,4956347.00,1394,61.27,78.80,56.30
16-November-2021,2052.05,2123.25,2052.05,2113.15,2109.529262086513994910,786,258,1658090.00,600,76.34,71.20,61.10
15-November-2021,2130.00,2130.00,2102.10,2109.30,2111.673913043478260869,322,131,679959.00,215,66.77,27.90,-20.70
12-November-2021,2139.55,2146.00,2094.35,2115.40,2123.316831683168316831,1010,349,2144550.00,390,38.61,51.65,-24.15
11-November-2021,2132.15,2132.15,2104.70,2123.25,2115.623036649214659685,382,182,808168.00,206,53.93,27.45,-8.90
10-November-2021,2114.10,2137.80,2106.55,2130.40,2122.845864661654135338,532,260,1129354.00,300,56.39,31.25,16.30
9-November-2021,2119.15,2126.50,2097.00,2115.05,2110.133531157270029673,674,253,1422230.00,442,65.58,29.50,-4.10
8-November-2021,2149.10,2149.10,2094.45,2104.30,2108.541666666666666666,384,193,809680.00,218,56.77,54.65,-44.80
4-November-2021,2140.00,2190.00,2100.00,2123.20,2127.145190562613430127,551,122,1172057.00,373,67.70,90.00,-16.80
3-November-2021,2104.55,2119.40,2082.80,2093.10,2095.649532710280373831,642,286,1345407.00,443,69.00,36.60,-11.45
2-November-2021,2100.10,2123.45,2090.00,2115.75,2106.923898531375166889,749,298,1578086.00,453,60.48,33.45,15.65
1-November-2021,2102.20,2133.75,2076.00,2079.45,2094.843243243243243243,740,413,1550184.00,526,71.08,57.75,-22.75
29-October-2021,2129.65,2130.90,2098.05,2102.20,2118.893491124260355029,338,168,716186.00,246,72.78,32.85,-27.45
28-October-2021,2145.10,2149.00,2121.35,2128.90,2135.121518987341772151,395,188,843373.00,183,46.33,27.65,-16.20
27-October-2021,2126.95,2148.90,2116.35,2118.35,2128.935986159169550173,578,230,1230525.00,332,57.44,32.55,-8.60
26-October-2021,2123.60,2135.95,2087.15,2091.15,2096.313775510204081632,784,298,1643510.00,528,67.35,48.80,-32.45
25-October-2021,2147.15,2155.55,2100.00,2104.10,2118.762260127931769722,938,381,1987399.00,572,60.98,55.55,-43.05
22-October-2021,2180.05,2192.10,2150.00,2160.65,2162.222090261282660332,842,330,1820591.00,436,51.78,42.10,-19.40
21-October-2021,2220.00,2220.00,2164.85,2172.50,2185.121412803532008830,453,192,989860.00,264,58.28,55.15,-47.50
20-October-2021,2195.05,2216.25,2187.05,2197.55,2202.074712643678160919,348,135,766322.00,231,66.38,29.20,2.50
19-October-2021,2220.40,2227.00,2204.80,2205.65,2214.222363405336721728,787,222,1742593.00,521,66.20,22.20,-14.75
18-October-2021,2259.00,2259.00,2195.55,2208.05,2212.271306818181818181,2112,823,4672317.00,1167,55.26,63.45,-50.95
14-October-2021,2240.35,2244.85,2217.30,2222.15,2231.420000000000000000,900,390,2008278.00,506,56.22,27.55,-18.20
13-October-2021,2240.15,2259.10,2231.25,2243.10,2241.922962962962962962,675,207,1513298.00,501,74.22,27.85,2.95
12-October-2021,2238.95,2251.70,2218.05,2231.50,2227.668824163969795037,927,329,2065049.00,768,82.85,33.65,-7.45
11-October-2021,2289.20,2289.20,2226.00,2230.70,2238.824191279887482419,711,279,1591804.00,463,65.12,63.20,-58.50
8-October-2021,2245.80,2252.80,2237.20,2240.65,2245.133064516129032258,248,148,556793.00,130,52.42,15.60,-5.15
7-October-2021,2260.90,2264.50,2231.00,2235.35,2242.887218045112781954,399,198,894912.00,178,44.61,33.50,-25.55
6-October-2021,2319.00,2319.00,2240.35,2245.20,2257.371345029239766081,684,210,1544042.00,301,44.01,78.65,-73.80
5-October-2021,2250.00,2269.95,2239.95,2265.75,2256.701986754966887417,302,156,681524.00,139,46.03,30.00,15.75
4-October-2021,2271.35,2277.40,2249.30,2251.40,2258.497896213183730715,713,282,1610309.00,427,59.89,28.10,-19.95
1-October-2021,2288.00,2288.00,2245.60,2254.50,2255.828828828828828828,444,202,1001588.00,215,48.42,42.40,-33.50
30-September-2021,2275.00,2296.05,2242.85,2283.55,2268.584677419354838709,496,168,1125218.00,277,55.85,53.20,8.55
29-September-2021,2194.00,2274.00,2181.65,2258.00,2246.482990506329113924,2528,943,5679109.00,1901,75.20,92.35,64.00
28-September-2021,2218.00,2219.70,2190.00,2194.25,2201.769503546099290780,282,112,620899.00,183,64.89,29.70,-23.75
27-September-2021,2210.00,2225.00,2205.00,2215.85,2212.688172043010752688,558,197,1234680.00,330,59.14,20.00,5.85
24-September-2021,2204.05,2235.95,2200.00,2205.95,2219.379721669980119284,503,144,1116348.00,234,46.52,35.95,1.90
23-September-2021,2214.40,2219.85,2181.95,2195.85,2200.086257309941520467,684,227,1504859.00,449,65.64,37.90,-18.55
22-September-2021,2221.00,2221.00,2196.00,2203.40,2204.126245847176079734,301,116,663442.00,246,81.73,25.00,-17.60
21-September-2021,2193.25,2227.00,2180.00,2210.30,2192.709884467265725288,779,305,1708121.00,547,70.22,47.00,17.05
20-September-2021,2215.65,2224.00,2196.00,2200.95,2216.783216783216783216,286,123,634000.00,187,65.38,28.00,-14.70
17-September-2021,2213.55,2232.00,2196.05,2210.55,2212.126404494382022471,356,196,787517.00,129,36.24,35.95,-3.00
16-September-2021,2226.70,2227.55,2192.50,2197.05,2207.904030710172744721,521,227,1150318.00,340,65.26,35.05,-29.65
15-September-2021,2199.30,2221.25,2194.25,2210.35,2210.978873239436619718,1136,200,2511672.00,573,50.44,27.00,11.05
14-September-2021,2200.00,2201.35,2192.50,2198.60,2198.258278145695364238,302,115,663874.00,195,64.57,8.85,-1.40
13-September-2021,2200.00,2211.35,2184.00,2202.55,2196.662613981762917933,1316,397,2890808.00,804,61.09,27.35,2.55
9-September-2021,2206.90,2206.90,2187.90,2197.35,2199.769791666666666666,960,421,2111779.00,562,58.54,19.00,-9.55
8-September-2021,2236.60,2238.25,2210.00,2225.20,2220.329949238578680203,591,278,1312215.00,315,53.30,28.25,-11.40
7-September-2021,2257.90,2259.50,2231.20,2248.05,2244.915322580645161290,744,217,1670217.00,564,75.81,28.30,-9.85
6-September-2021,2288.95,2288.95,2233.95,2235.30,2240.866790009250693802,1081,331,2422377.00,618,57.17,55.00,-53.65
3-September-2021,2280.05,2288.65,2252.00,2255.30,2266.935420743639921722,1022,333,2316808.00,502,49.12,36.65,-24.75
2-September-2021,2294.20,2298.55,2263.05,2269.00,2280.158238172920065252,613,316,1397737.00,299,48.78,35.50,-25.20
1-September-2021,2263.95,2299.00,2227.90,2269.35,2276.483299595141700404,1976,681,4498331.00,929,47.01,71.10,5.40
31-August-2021,2226.85,2226.85,2195.15,2211.15,2203.719921104536489151,507,215,1117286.00,324,63.91,31.70,-15.70
30-August-2021,2186.20,2221.15,2186.20,2208.20,2213.371134020618556701,485,247,1073485.00,312,64.33,34.95,22.00
27-August-2021,2197.90,2211.40,2191.90,2201.60,2203.296943231441048034,229,104,504555.00,147,64.19,19.50,3.70
26-August-2021,2207.05,2221.15,2196.80,2200.75,2205.562500000000000000,384,118,846936.00,311,80.99,24.35,-6.30
25-August-2021,2208.80,2228.10,2200.00,2206.15,2211.838938053097345132,565,264,1249689.00,325,57.52,28.10,-2.65
24-August-2021,2188.00,2204.75,2178.95,2183.70,2188.009708737864077669,927,250,2028285.00,752,81.12,25.80,-4.30
23-August-2021,2232.55,2246.40,2163.20,2187.50,2198.805325987144168962,1089,356,2394499.00,527,48.39,83.20,-45.05
20-August-2021,2165.50,2225.00,2165.50,2214.40,2213.202770780856423173,794,323,1757283.00,558,70.28,59.50,48.90
