Date,Open Price,High Price,Low Price,Close Price,WAP,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
28-March-2019,169.70,171.45,167.50,170.60,169.987781287032167931,952719,5957,161950589.00,204333,21.45,3.95,0.90
27-March-2019,174.00,175.00,169.00,169.90,171.937806288502096972,911314,5707,156689330.00,304397,33.40,6.00,-4.10
26-March-2019,171.70,173.60,171.70,173.10,172.516216902327867927,744501,4063,128438496.00,257380,34.57,1.90,1.40
25-March-2019,174.40,174.40,171.00,171.35,172.415323258181530645,1416422,5605,244212857.00,822188,58.05,3.40,-3.05
22-March-2019,180.25,182.00,174.90,175.40,177.591722561712553576,972209,6033,172656271.00,301544,31.02,7.10,-4.85
20-March-2019,183.40,183.55,179.30,179.85,180.996817993460553100,661218,3482,119678354.00,162349,24.55,4.25,-3.55
19-March-2019,182.00,184.50,180.90,182.80,182.633033698966459430,883855,5748,161421120.00,221450,25.06,3.60,0.80
18-March-2019,180.55,184.65,179.65,182.30,182.765162176116088766,875468,5384,160005051.00,168120,19.20,5.00,1.75
15-March-2019,180.00,181.80,177.55,180.20,179.387508865801225848,865686,5533,155293255.00,212333,24.53,4.25,0.20
14-March-2019,181.00,182.30,177.65,179.70,180.045041218866678420,1026593,6483,184832979.00,178139,17.35,4.65,-1.30
13-March-2019,184.75,184.75,180.45,181.60,182.084847392228663476,854216,4590,155539790.00,200932,23.52,4.30,-3.15
12-March-2019,184.00,186.00,183.80,184.75,184.931979010603790600,1099984,6388,203422218.00,228272,20.75,2.20,0.75
11-March-2019,181.65,184.45,180.95,182.15,182.646286737438287097,1067848,6467,195038472.00,182157,17.06,3.50,0.50
8-March-2019,188.30,188.30,180.50,181.65,183.481266487190444443,1771451,10455,325028073.00,406914,22.97,7.80,-6.65
7-March-2019,191.90,193.40,187.90,189.20,190.297317964541734272,1599345,9875,304351064.00,239730,14.99,5.50,-2.70
6-March-2019,195.25,198.30,184.75,188.55,190.867435753249534998,1918813,11144,366238917.00,262209,13.67,13.55,-6.70
5-March-2019,183.95,198.00,181.50,194.00,192.223059863823299330,4662031,25787,896149864.00,815089,17.48,16.50,10.05
1-March-2019,179.20,184.00,177.35,180.10,180.603325704978407808,2069035,10087,373674602.00,314573,15.20,6.65,0.90
28-February-2019,179.15,181.50,176.55,177.85,178.978261127949129375,1093755,7203,195758368.00,271637,24.84,4.95,-1.30
27-February-2019,183.35,186.05,176.20,177.20,180.073914665937156797,1506034,10299,271197438.00,339696,22.56,9.85,-6.15
26-February-2019,173.55,183.35,172.65,182.70,180.265308124446887857,1906259,11664,343632366.00,517654,27.16,10.70,9.15
25-February-2019,175.45,177.55,173.75,175.55,175.283210846753648799,1240408,7711,217422697.00,427857,34.49,3.80,0.10
22-February-2019,170.00,175.25,168.00,174.55,172.479887791460046835,1467268,7014,253074220.00,672983,45.87,7.25,4.55
21-February-2019,166.00,170.60,165.20,169.70,168.298199572542166163,1026534,7059,172763824.00,250081,24.36,5.40,3.70
20-February-2019,165.00,166.50,163.85,164.85,164.828034308469272454,970839,5142,160021484.00,340548,35.08,2.65,-0.15
19-February-2019,164.80,165.80,161.10,163.50,164.114433769808431831,1129885,6844,185430437.00,254710,22.54,4.70,-1.30
18-February-2019,162.30,163.45,159.20,163.00,161.338863501106009853,1406407,7397,226908107.00,384908,27.37,4.25,0.70
15-February-2019,160.00,161.65,153.35,161.10,158.340197390539547049,1704337,11922,269865057.00,303335,17.80,8.30,1.10
14-February-2019,155.80,160.95,153.60,159.65,157.027990155477442377,1945041,8871,305425879.00,454163,23.35,7.35,3.85
13-February-2019,152.05,156.25,151.60,154.75,154.537421877423982391,1643731,8776,254017951.00,573246,34.87,4.65,2.70
12-February-2019,153.60,154.20,150.75,151.45,152.730000121998437135,1557397,7513,237861244.00,297195,19.08,3.45,-2.15
11-February-2019,150.50,153.10,145.80,152.45,150.133923511861874871,2158217,14501,324021586.00,258185,11.96,7.30,1.95
8-February-2019,164.65,164.65,141.90,151.30,151.657848714443582812,8155068,70352,1236780069.00,1679181,20.59,22.75,-13.35
7-February-2019,179.45,184.95,179.00,182.90,182.777883319298386795,1391764,7382,254383678.00,334784,24.05,5.95,3.45
6-February-2019,177.00,179.30,171.90,178.20,176.394814829015889096,991057,4492,174817316.00,358712,36.19,7.40,1.20
5-February-2019,180.00,181.00,174.40,175.55,176.189859100201044077,1183820,5987,208577079.00,318213,26.88,6.60,-4.45
4-February-2019,181.00,183.60,178.20,180.30,180.466913306744737978,956049,5340,172535212.00,219701,22.98,5.40,-0.70
1-February-2019,182.00,185.90,179.60,181.75,182.995182717972371137,1322530,7017,242016619.00,321546,24.31,6.30,-0.25
31-January-2019,175.30,183.50,175.30,181.25,179.158424669907032040,952156,6645,170586769.00,377611,39.66,8.20,5.95
30-January-2019,174.50,176.70,173.15,174.30,174.554110849767195740,789934,3432,137886227.00,317340,40.17,3.55,-0.20
29-January-2019,171.60,174.80,170.95,173.45,173.042760598387181031,727422,3138,125875111.00,296842,40.81,3.85,1.85
28-January-2019,174.30,175.25,169.55,171.95,171.957752425215822504,840853,4106,144591192.00,275194,32.73,5.70,-2.35
25-January-2019,176.30,178.85,172.00,173.20,175.715385742085329873,1099193,7386,193145122.00,366754,33.37,6.85,-3.10
24-January-2019,179.70,180.25,173.75,175.35,175.424544076583698659,1713994,7917,300676616.00,424104,24.74,6.50,-4.35
23-January-2019,182.00,182.70,178.60,180.25,180.435567646552777452,802066,4733,144721234.00,191077,23.82,4.10,-1.75
22-January-2019,181.40,182.65,176.05,180.45,179.005406324502472713,1382085,5199,247400687.00,275710,19.95,6.60,-0.95
21-January-2019,183.30,184.85,180.40,181.40,181.772166760325790447,976947,4069,177581773.00,269748,27.61,4.45,-1.90
18-January-2019,185.50,185.60,181.40,183.10,183.227619541792087643,678382,3139,124298319.00,141213,20.82,4.20,-2.40
17-January-2019,186.30,187.35,183.40,184.80,185.127959354533353695,923301,4969,170928830.00,217579,23.57,3.95,-1.50
16-January-2019,185.50,187.30,184.10,185.30,185.600862652804021565,1125134,5678,208825841.00,144758,12.87,3.20,-0.20
15-January-2019,183.20,185.80,181.45,185.40,183.602045702819295576,987729,5540,181349065.00,227702,23.05,4.35,2.20
14-January-2019,180.55,187.40,177.55,182.30,180.984727551308067907,1394079,7819,252307008.00,156901,11.25,9.85,1.75
11-January-2019,186.30,187.55,179.45,180.30,182.649092906222203649,1675130,9570,305960975.00,293453,17.52,8.10,-6.00
10-January-2019,183.65,186.80,183.40,185.55,185.680092481142673728,1395744,7747,259161875.00,412614,29.56,3.40,1.90
9-January-2019,181.90,183.90,180.30,183.10,182.125035867290146279,1704199,8755,310377304.00,520382,30.54,3.60,1.20
8-January-2019,176.30,180.50,176.10,179.35,179.130449005832232811,2812302,8457,503768920.00,533765,18.98,4.40,3.05
7-January-2019,173.00,178.30,173.00,175.25,176.088980419838421622,1718423,9266,302595354.00,435034,25.32,5.30,2.25
4-January-2019,168.10,171.90,168.10,170.75,170.409043523175721003,1587545,8288,270532025.00,428620,27.00,3.80,2.65
3-January-2019,169.30,170.10,165.40,166.20,167.568381825260841666,737133,4484,123520184.00,230660,31.29,4.70,-3.10
2-January-2019,171.00,171.70,168.00,168.55,169.797116827538133932,966921,5689,164180398.00,256177,26.49,3.70,-2.45
1-January-2019,173.70,174.30,171.35,173.60,172.744248876104247225,508944,3321,87917149.00,113651,22.33,2.95,-0.10
31-December-2018,172.60,173.90,171.90,172.60,172.845086368816576545,536131,3719,92667609.00,120746,22.52,2.00,0.00
28-December-2018,169.90,172.15,169.20,170.80,171.028165165756911531,984514,4837,168379623.00,306779,31.16,2.95,0.90
27-December-2018,173.00,173.30,168.05,168.80,170.080122242424029287,1137412,5665,193451172.00,420390,36.96,5.25,-4.20
26-December-2018,172.00,172.15,167.70,170.90,170.194135083328855931,1321451,6363,224903210.00,325183,24.61,4.45,-1.10
24-December-2018,176.50,178.00,171.45,172.30,174.474540660649311543,1471189,6777,256685025.00,415800,28.26,6.55,-4.20
21-December-2018,177.30,180.45,175.10,175.90,178.040221024545793375,2535465,13292,451414749.00,773346,30.50,5.35,-1.40
20-December-2018,173.60,177.30,171.90,175.95,175.247683773907708216,1802609,8469,315903052.00,500702,27.78,5.40,2.35
19-December-2018,176.00,176.40,172.50,173.65,174.206845892017905156,1074104,5711,187116270.00,262996,24.49,3.90,-2.35
18-December-2018,174.00,177.60,173.20,174.40,174.700411913630712801,1719778,9016,300445925.00,463960,26.98,4.40,0.40
17-December-2018,167.40,175.90,167.30,173.75,173.548110087344096508,2385851,13208,414059932.00,316095,13.25,8.60,6.35
14-December-2018,166.80,168.35,164.80,166.90,166.911474657597322384,1259628,6423,210246367.00,303323,24.08,3.55,0.10
13-December-2018,166.70,167.95,165.65,166.45,166.769028244019895600,1422425,8203,237216435.00,416809,29.30,2.30,-0.25
12-December-2018,159.90,167.00,158.00,163.90,163.325086628254094309,2100354,10638,343040499.00,360470,17.16,9.00,4.00
11-December-2018,155.20,159.60,154.70,158.20,157.300236812026764784,1253737,7333,197213127.00,271033,21.62,4.90,3.00
10-December-2018,160.55,160.55,156.10,156.85,158.161345259327772804,1341719,8514,212208082.00,379568,28.29,4.45,-3.70
7-December-2018,162.60,164.20,160.75,162.45,162.523076786089929735,1796914,8056,292039992.00,430026,23.93,3.45,-0.15
6-December-2018,168.95,168.95,161.40,162.40,164.386095355644608620,2258828,13511,371319915.00,822622,36.42,7.55,-6.55
5-December-2018,173.75,173.75,168.70,169.20,170.629662645185848836,1552579,8752,264916031.00,347189,22.36,5.05,-4.55
4-December-2018,177.80,178.80,175.15,175.70,176.954366155668229522,1126357,6511,199313789.00,238555,21.18,3.65,-2.10
3-December-2018,173.70,176.45,170.20,175.40,174.175577095288598842,1611389,9286,280664609.00,219723,13.64,6.25,1.70
30-November-2018,173.50,175.00,170.50,171.95,172.700646275412752819,1337665,9001,231015610.00,347523,25.98,4.50,-1.55
29-November-2018,177.00,179.25,173.65,177.30,177.052191564919000877,1002480,5666,177491281.00,278152,27.75,5.60,0.30
28-November-2018,181.30,181.30,173.85,174.35,176.330630518739317376,1014498,6719,178887072.00,358527,35.34,7.45,-6.95
27-November-2018,182.30,184.40,178.90,180.00,181.143311808424830820,1052579,4933,190667646.00,317140,30.13,5.50,-2.30
26-November-2018,184.45,184.55,177.10,181.70,180.080388754869051103,936014,6449,168557765.00,245882,26.27,7.45,-2.75
22-November-2018,185.00,186.00,181.60,182.25,183.373285381727438519,626743,4507,114927923.00,124518,19.87,4.40,-2.75
21-November-2018,184.85,186.75,183.70,184.15,184.823636155670074409,646958,4435,119573130.00,130027,20.10,3.05,-0.70
20-November-2018,184.30,188.40,182.90,183.30,185.022887824940023056,1444305,8525,267229482.00,325780,22.56,5.50,-1.00
19-November-2018,180.65,184.95,179.10,184.30,183.197300574654053967,1118238,7245,204858183.00,251858,22.52,5.85,3.65
16-November-2018,180.80,181.90,178.15,179.40,179.581099095644344878,1319503,6511,236957799.00,366677,27.79,3.75,-1.40
15-November-2018,178.00,182.80,177.10,179.95,180.566458290999248860,1540327,9401,278131391.00,441506,28.66,5.70,1.95
14-November-2018,180.10,183.15,176.20,176.80,179.355853353162579576,1547882,10259,277621697.00,349264,22.56,6.95,-3.30
13-November-2018,181.00,182.95,178.45,179.80,180.563555858855697336,1749642,12364,315921581.00,353028,20.18,4.50,-1.20
12-November-2018,194.40,194.85,185.25,185.95,188.754204790360885992,1911213,11320,360749490.00,587794,30.76,9.60,-8.45
